environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,0.007336191833019257,0.0,0.0,0.0,0.0,2.3757922649383545,0.026258572936058044,25.0,0.0,0.022844554111361503,0.0,0.0,9.257342036600723e-05,40,0.037844762206077576
20000,0.07521931827068329,0.02,0.06,0.083333336,0.105409265,1.984359622001648,0.1008598580956459,25.0,0.10333333,0.022023416683077814,0.0,0.10666667,6.0610481044883795e-05,80,0.051281075924634933
30000,-0.047777701169252396,0.022222223,0.06666667,0.039285712,0.08214285,2.1756937503814697,-0.030077029019594193,25.0,0.061507933,0.022603641683235764,0.0,0.09718982,0.00010186155870699719,120,0.035401344299316406
40000,0.05126572400331497,0.13803573,0.13463873,0.06097222,0.09346809,2.7129533290863037,0.07434356212615967,25.0,0.19900794,0.02236985005438328,0.0,0.18557325,6.827565201742607e-05,160,0.046155668795108795
50000,-0.012216562405228615,0.07650794,0.09552813,0.07634921,0.1017173,2.608105421066284,-0.003393511287868023,25.0,0.15285715,0.022900666669011117,0.0,0.16997333,0.00013291035468334397,200,0.017646102234721184
60000,-0.02984895370900631,0.033333335,0.1,0.09166667,0.11456439,2.8107101917266846,-0.018847569823265076,25.0,0.125,0.022204350028187037,0.0,0.1304373,0.00011461564305396563,240,0.022002767771482468
70000,-0.004733001813292503,0.025,0.074999996,0.05,0.1,2.739722728729248,0.0016651172190904617,25.0,0.075,0.022591291554272176,0.0,0.11456439,4.6202649559219207e-05,280,0.01279623806476593
80000,0.04050980508327484,0.043181818,0.08769901,0.19425324,0.22704014,2.745417833328247,0.054863378405570984,24.1,0.23743507,0.02192030008882284,2.7,0.29423374,0.0024312387438592924,320,0.028707150369882584
90000,-0.05782776325941086,0.083333336,0.17078252,0.101904765,0.157765,2.749725818634033,-0.04830193892121315,25.0,0.1852381,0.022816920885816216,0.0,0.24350475,8.012607682080865e-05,360,0.019051646813750267
100000,-0.01732683926820755,0.09,0.1174261,0.033333335,0.1,2.339171886444092,-0.0115666463971138,25.0,0.123333335,0.022253495734184982,0.0,0.133375,0.0001273892142056607,400,0.011520386673510075
