name,n_evals,agent1_final_mean,agent1_final_std,agent2_final_mean,agent2_final_std,agent1_max_mean,agent2_max_mean,agent1_avg_mean,agent2_avg_mean,category
10000eps_50epL_16dec2025_IQL_vs_Random,10,123.64,4.430620724006965,53.8,8.009993757800315,125.78,53.86,124.50800000000001,52.80800000000001,MixedPlay
100eps_100epL_22dec2025_IQL_vs_IQL,10,0.412,0.036,0.5879999999999999,0.036,0.412,0.5959999999999999,0.2868,0.3611999999999999,MixedPlay
10000eps_100epL_22dec2025_IQL_vs_IQL,10,-0.9334999999999908,19.92207074452853,-0.9334999999999908,19.92207074452853,61.53199999999999,61.53199999999999,23.11005,23.11005,MixedPlay
10000eps_50epL_16dec2025_JalAM_vs_IQL,1000,53.16,6.472588353974013,124.14,3.4583811241677807,56.46,126.38,53.103680000000004,124.3772,MixedPlay
10000eps_100epL_16dec2025_IQL_vs_Random,20,360.17,10.271372839109675,381.59,6.5728152263699,361.24,382.88,351.93850000000003,345.844,MixedPlay
10000eps_100epL_22dec2025_JalAM_vs_IQL,10,36.995999999999995,50.38520898041406,36.995999999999995,50.38520898041406,59.38750000000004,59.38750000000004,38.797550000000015,38.797550000000015,MixedPlay
1000eps_100epL_22dec2025_JalAM_vs_JalAM,10,43.001,50.980584529799174,43.001,50.980584529799174,45.1595,45.1595,34.60809999999999,34.60809999999999,MixedPlay
10000eps_100epL_22dec2025_JalAM_vs_JalAM,10,34.915000000000006,49.92666496973334,34.915000000000006,49.92666496973334,40.082,40.082,34.81215,34.81215,MixedPlay
10000eps_50epL_16dec2025_IQL_vs_JalAM,10,123.78,4.666004714956898,53.34,7.540848758594751,125.02,55.46,124.02799999999999,53.726,MixedPlay
100eps_50epL_16dec2025_IQL_vs_Random,5,123.73333333333332,5.026153819992204,55.53333333333333,9.351411064052789,126.4,55.53333333333333,125.18666666666668,52.10666666666666,MixedPlay
100eps_100epL_22dec2025_JalAM_vs_JalAM,10,0.092,0.1173712060089696,0.1679999999999999,0.194976921711263,0.172,0.176,0.122,0.10799999999999996,MixedPlay
50eps_50epL_5dec2025_IQL,5,0.0107999999999999,0.0608004385949088,0.2391999999999988,0.1559808535258946,0.2294666666666656,0.3377333333333339,0.12079999999999964,0.20426666666666654,IQL
200000eps_100epL_15dec2025_IQL,100,289.72,4.992153843783257,289.92,4.975298985990694,291.14,290.82,154.7599,162.3621,IQL
5000eps_50epL_15dec2025_IQL,10,487.23,6.939531684487074,487.23,6.939531684487074,489.17,489.17,487.6530000000001,487.6530000000001,IQL
50eps_50epL_15dec2025_IQL,5,0.1141333333333335,0.1569296516135674,0.0518666666666666,0.123229073048711,0.1783999999999996,0.1512,0.14024000000000006,0.10909333333333333,IQL
